Constituency	MP	Winning party	Electorate	Valid votes	Majority	Majority (%)	Con	Lab	LD
Redditch	Rachel Maclean	Con	65391	44067	16036	36.39004244	27907	11871	2905
Bracknell	James Sunderland	Con	78978	54350	19829	36.48390064	31894	12065	7749
Tewkesbury	Laurence Robertson	Con	83958	61140	22410	36.65358194	35728	9310	13318
Arundel and South Downs	Andrew Griffith	Con	81726	61408	22521	36.67437467	35566	9722	13045
Salisbury	John Glen	Con	74556	53730	19736	36.73180718	30280	9675	10544
Sutton Coldfield	Andrew Mitchell	Con	75638	52325	19272	36.83134257	31604	12332	6358
Amber Valley	Nigel Mills	Con	69976	45567	16886	37.0575197	29096	12210	2873
Spelthorne	Kwasi Kwarteng	Con	70929	49510	18393	37.15007069	29141	10748	7499
North East Bedfordshire	Richard Fuller	Con	90678	65018	24283	37.34811898	38443	14160	7999
Windsor	Adam Afriyie	Con	75038	53750	20079	37.35627907	31501	8147	11422
Staffordshire Moorlands	Karen Bradley	Con	65485	43656	16428	37.63056625	28192	11764	2469
Romford	Andrew Rosindell	Con	72350	47231	17893	37.88401685	30494	12601	2708
Poole	Robert Syms	Con	73989	50451	19116	37.89023012	29599	10483	7819
North West Leicestershire	Andrew Bridgen	Con	78935	53821	20400	37.9034206	33811	13411	3614
Mid Bedfordshire	Nadine Dorries	Con	87795	64717	24664	38.11054282	38692	14028	8171
Beverley and Holderness	Graham Stuart	Con	79696	53542	20448	38.19057936	33250	12802	4671
The Wrekin	Mark Pritchard	Con	70693	48890	18726	38.30231131	31029	12303	4067
Broadland	Jerome Mayhew	Con	78151	56977	21861	38.36811345	33934	12073	9195
Solihull	Julian Knight	Con	78760	55344	21273	38.43777103	32309	11036	9977
Kenilworth and Southam	Jeremy Wright	Con	68154	52597	20353	38.69612335	30351	9440	9998
Penrith and The Border	Neil Hudson	Con	67555	47824	18519	38.7232352	28875	10356	5364
Harwich and North Essex	Bernard Jenkin	Con	74153	51963	20182	38.83917403	31830	11648	5866
South East Cornwall	Sheryll Murray	Con	71825	53655	20971	39.08489423	31807	10836	8650
North Warwickshire	Craig Tracey	Con	70271	45914	17956	39.10789737	30249	12293	2069
South West Wiltshire	Andrew Murrison	Con	77969	54895	21630	39.40249567	33038	11408	8015
Hereford and South Herefordshire	Jesse Norman	Con	72085	49646	19686	39.65274141	30390	10704	6181
Newark	Robert Jenrick	Con	75850	54762	21816	39.83784376	34660	12844	5308
Ashford	Damian Green	Con	89553	60059	24029	40.00899116	37270	13241	6048
Stone	William Cash	Con	69378	49843	19945	40.01564914	31687	11742	4412
South West Devon	Gary Streeter	Con	72535	53367	21430	40.15590159	33286	11856	6207
Mid Norfolk	George Freeman	Con	82203	56186	22594	40.21286441	35051	12457	7739
North West Cambridgeshire	Shailesh Vara	Con	94909	64533	25983	40.26312119	40307	14324	6881
East Surrey	Claire Coutinho	Con	83148	59690	24040	40.27475289	35624	8247	11584
Bury St Edmunds	Jo Churchill	Con	89644	61957	24988	40.33119744	37770	12782	0
Skipton and Ripon	Julian Smith	Con	78347	58724	23694	40.34806893	34919	11225	8701
Charnwood	Edward Argar	Con	79534	55365	22397	40.45335501	35121	12724	4856
North Shropshire	Owen Paterson	Con	83258	56513	22949	40.6083556	35444	12495	5643
Great Yarmouth	Brandon Lewis	Con	71957	43462	17663	40.6400994	28593	10930	1661
Tiverton and Honiton	Neil Parish	Con	82953	59613	24239	40.66059417	35893	11654	8807
Hertsmere	Oliver Dowden	Con	73971	52203	21313	40.82715553	32651	11338	6561
Haltemprice and Howden	David Davis	Con	71083	49779	20329	40.8385062	31045	10716	5215
Sevenoaks	Laura Trott	Con	71757	50956	20818	40.85485517	30932	6946	10114
Old Bexley and Sidcup	James Brokenshire	Con	66104	46145	18952	41.07053852	29786	10834	3822
South Northamptonshire	Andrea Leadsom	Con	90842	66908	27761	41.49130149	41755	13994	7891
Central Suffolk and North Ipswich	Dan Poulter	Con	80037	56250	23391	41.584	35253	11862	6485
South Leicestershire	Alberto Costa	Con	80520	57469	24004	41.76860568	36791	12787	5452
Torridge and West Devon	Geoffrey Cox	Con	80403	59730	24992	41.84162063	35904	10290	10912
Wealden	Nusrat Ghani	Con	82998	60907	25655	42.12159522	37043	9377	11388
Maidstone and The Weald	Helen Grant	Con	76109	51680	21772	42.12848297	31220	9448	8482
Meriden	Saqib Bhatti	Con	85368	54161	22836	42.16318015	34358	11522	5614
Wyre Forest	Mark Garnier	Con	78077	50561	21413	42.35082376	32960	11547	4081
Bridgwater and West Somerset	Ian Liddell-Grainger	Con	85327	57652	24439	42.3905502	35827	11388	7805
Broxbourne	Charles Walker	Con	73182	46706	19807	42.40782769	30631	10824	3970
Dudley South	Mike Wood	Con	60731	36576	15565	42.55522747	24835	9270	1608
Bromsgrove	Sajid Javid	Con	75078	54272	23106	42.57443986	34408	11302	6779
West Worcestershire	Harriett Baldwin	Con	76241	57530	24499	42.5847384	34909	9496	10410
Tamworth	Christopher Pincher	Con	71572	46056	19634	42.63071044	30542	10908	2426
North West Norfolk	James Wild	Con	72080	46602	19922	42.74923823	30627	10705	3625
Chatham and Aylesford	Tracey Crouch	Con	71642	43340	18540	42.77803415	28856	10316	2866
South Suffolk	James Cartlidge	Con	76201	53489	22897	42.80693227	33270	10373	6702
Cannock Chase	Amanda Milling	Con	74813	46313	19879	42.92315333	31636	11757	0
Meon Valley	Flick Drummond	Con	75737	54829	23555	42.96084189	35271	5644	11716
East Yorkshire	Greg Knight	Con	80923	52769	22787	43.18255036	33988	11201	4219
Hornchurch and Upminster	Julia Lopez	Con	80765	53974	23308	43.18375514	35495	12187	3862
North Dorset	Simon Hoare	Con	76765	56107	24301	43.31188622	35705	6737	11404
Faversham and Mid Kent	Helen Whately	Con	73403	50394	21976	43.60836608	31864	9888	6170
Saffron Walden	Kemi Badenoch	Con	87017	63086	27594	43.74029103	39714	8305	12120
Lichfield	Michael Fabricant	Con	76616	53993	23638	43.77974923	34844	11206	5632
Bognor Regis and Littlehampton	Nick Gibb	Con	77446	51223	22503	43.93143705	32521	10018	5645
South Basildon and East Thurrock	Stephen Metcalfe	Con	74441	45297	19922	43.98083758	29973	10051	1957
Bexhill and Battle	Huw Merriman	Con	81963	59093	26059	44.09828575	37590	11531	7280
Epping Forest	Eleanor Laing	Con	74304	50268	22173	44.10957269	32364	10191	5387
Thirsk and Malton	Kevin Hollinrake	Con	80991	56588	25154	44.45112038	35634	10480	6774
North West Hampshire	Kit Malthouse	Con	83083	58918	26308	44.65188907	36591	9327	10283
Gainsborough	Edward Leigh	Con	76343	51046	22967	44.99275164	33893	10926	5157
West Suffolk	Matthew Hancock	Con	80193	51437	23194	45.09205436	33842	10648	4685
Daventry	Chris Heaton-Harris	Con	77423	57403	26080	45.43316551	37055	10975	7032
Fareham	Suella Braverman	Con	78337	57250	26086	45.5650655	36459	10373	8006
Orpington	Gareth Bacon	Con	68877	48721	22378	45.93091275	30882	8504	7552
Rutland and Melton	Alicia Kearns	Con	82705	58310	26924	46.17389813	36507	9583	7970
Cleethorpes	Martin Vickers	Con	73689	46339	21418	46.22024644	31969	10551	2535
Basildon and Billericay	John Baron	Con	69906	44128	20412	46.25634518	29590	9178	3741
Grantham and Stamford	Gareth Davies	Con	81502	56003	26003	46.43144117	36794	10791	6153
Bosworth	Luke Evans	Con	81542	56432	26278	46.56577828	36056	9778	9096
